AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BEDROOM,SALES_PRICE
Karapakkam,1675,34,2,2,4,Normal Sale,Yes,House,AllPub,No Access,RH,3.7,2.6,8297500
Anna Nagar,1792,156,1,1,4,Family,No,Commercial,ELO,Gravel,RM,5,2,20697270
Anna Nagar,1574,54,1,1,4,Partial,Yes,House,NoSeWa,Gravel,RH,4.1,2.3,11772480
Karapakkam,1070,67,1,1,3,Family,Yes,Commercial,NoSewr ,Gravel,I,3.6,3.8,9727500
Chrompet,1125,156,1,1,3,Normal Sale,No,Commercial,ELO,Gravel,RH,3.8,4.5,12401000
Velachery,1971,12,3,2,5,Family,Yes,Commercial,NoSewr ,No Access,C,3.8,4.9,14616160
KK Nagar,1361,93,2,1,4,Family,No,House,NoSeWa,Paved,RM,4.5,3.7,8976940
KK Nagar,1786,74,3,2,5,Family,No,House,NoSewr ,Gravel,RL,3,4.9,9960280
Karapakkam,612,32,1,1,2,Normal Sale,Yes,Commercial,AllPub,No Access,A,4,4.5,5315750
T Nagar,1596,154,1,1,4,AdjLand,No,House,NoSeWa,Paved,RH,4.4,4.9,11262600
Anna Nagar,1644,66,1,1,4,Normal Sale,No,Others,AllPub,No Access,RH,4.7,4.9,11681720
Adyar,1041,78,1,1,3,AdjLand,No,Commercial,ELO,Paved,A,3.6,4.4,10646530
Chrompet,810,24,1,1,3,Partial,No,Commercial,ELO,Paved,RH,3.2,4.9,9352750
Chrompet,837,117,1,1,3,AdjLand,No,Others,NoSewr ,No Access,RM,3.9,2.8,8582390
T Nagar,1884,181,2,1,5,AbNormal,Yes,House,AllPub,No Access,RM,2,4.4,14049650
Chrompet,1063,187,1,1,3,AdjLand,Yes,Others,ELO,No Access,RL,3,2.4,9253010
Karapakkam,1298,69,1,1,3,Family,No,Others,NoSewr ,Paved,I,2.4,3,6686000
Anna Nagar,1867,149,2,1,5,AbNormal,No,House,NoSeWa,No Access,RH,2.3,2,10721350
T Nagar,1575,172,1,1,4,Partial,No,House,NoSewr ,No Access,RL,2.5,3.3,10002210
Karapakkam,1463,74,2,2,4,Normal Sale,Yes,Others,NoSeWa,Gravel,C,4.1,4.5,8110875
Karapakkam,1164,0,1,1,3,AbNormal,Yes,Others,NoSeWa,No Access,RM,3,4.2,8381750
Anna Nagar,1805,149,2,1,5,Normal Sale,No,Commercial,NoSeWa,Paved,RM,3.4,2.3,20438790
Adyar,733,190,1,1,2,AbNormal,No,Others,ELO,No Access,C,4.3,2.4,4886840
Adyar,1197,76,1,1,3,AdjLand,Yes,Others,AllPub,Paved,C,4.8,3.5,9905510
KK Nagar,2069,131,3,2,5,Normal Sale,No,House,AllPub,Paved,RH,4.1,2.1,10042440
Chrompet,956,22,1,1,3,Partial,No,Commercial,NoSewr ,Gravel,RH,2.2,2.7,11330100
Adyar,736,79,1,1,2,AdjLand,Yes,House,NoSewr ,No Access,RH,4.2,3.8,7839405
Chrompet,1050,198,1,1,3,Family,Yes,House,NoSewr ,Paved,RM,4.4,2.9,9993600
KK Nagar,2047,70,3,2,5,Normal Sale,Yes,Others,NoSeWa,Paved,RL,5,3.2,11992920
Adyar,632,50,1,1,2,AbNormal,Yes,Others,NoSeWa,Paved,RM,2.2,4.6,8899500
Karapakkam,871,118,1,1,2,Family,No,Commercial,ELO,Paved,RL,4,3.7,8068000
Adyar,811,192,1,1,3,Partial,Yes,Commercial,NoSewr ,No Access,A,2.4,2.5,8824390
Adyar,1087,141,1,1,3,Normal Sale,No,Others,AllPub,Paved,C,4.8,4.3,8257475
Chrompet,1170,126,1,1,3,AbNormal,Yes,Others,NoSeWa,Gravel,RH,3.5,3,10250150
Velachery,1843,149,3,2,5,Partial,No,Others,ELO,Gravel,I,3.2,4.6,9635530
T Nagar,1783,99,1,1,4,AdjLand,Yes,Others,NoSeWa,Gravel,RH,3.8,2.1,14106600
Karapakkam,847,39,1,1,2,Normal Sale,Yes,Commercial,NoSewr ,Paved,RH,2.7,4.5,9032750
Chrompet,1258,78,2,1,4,Partial,No,Others,ELO,No Access,RH,4.4,3.3,8218210
Karapakkam,979,176,1,1,3,AdjLand,No,Others,ELO,Paved,RL,2.3,4.6,7274625
Karapakkam,1607,77,2,2,4,Partial,No,Others,AllPub,Gravel,C,4.3,2.4,7404375
Chrompet,775,127,1,1,2,Normal Sale,No,Others,NoSewr ,Paved,RL,4,4.6,7726750
Velachery,1830,84,3,2,5,Normal Sale,No,House,AllPub,Gravel,RM,3.9,2.6,11111430
Chrompet,961,61,1,1,3,AdjLand,Yes,House,AllPub,No Access,RH,4.8,5,8406500
Velachery,1925,38,3,2,5,Family,No,House,ELO,Gravel,C,4.8,4,8372550
KK Nagar,1301,164,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Gravel,RM,3.7,3.1,13938120
Chrompet,1041,35,1,1,3,Family,Yes,Others,NoSeWa,Paved,RH,4.3,3.7,9197770
Karapakkam,1593,6,2,2,4,AbNormal,Yes,Others,NoSeWa,No Access,I,3.3,3.5,7993125
Chrompet,779,42,1,1,2,Family,No,Commercial,NoSewr ,Gravel,RH,3.4,4.9,10189000
Adyar,725,2,1,1,2,Normal Sale,No,Others,NoSeWa,No Access,RM,4.9,3.7,8071375
KK Nagar,1717,115,2,1,4,AbNormal,No,Commercial,AllPub,Paved,RL,4.9,4.5,14350560
Adyar,1248,159,2,2,4,Normal Sale,No,House,AllPub,Paved,I,4.6,4.9,8739885
Chrompet,1223,70,2,1,4,AbNormal,No,House,AllPub,Gravel,RM,3.6,3.6,10501150
T Nagar,1925,177,2,1,5,Normal Sale,Yes,Commercial,AllPub,Gravel,RM,3.5,3.6,23667340
Chrompet,907,5,1,1,3,AbNormal,Yes,Others,ELO,Gravel,RM,4.4,3,9995590
Chrompet,1089,29,1,1,3,Partial,No,Others,NoSeWa,Gravel,RM,3.3,3,10000930
Anna Nagar,1574,102,1,1,4,AbNormal,No,House,NoSewr ,Paved,RL,4.2,2.5,11235770
Karapakkam,1335,89,2,2,4,Partial,Yes,Commercial,NoSeWa,Gravel,RM,3,4.4,12986500
KK Nagar,1876,50,3,2,5,Family,Yes,Commercial,NoSewr ,Gravel,RL,3.1,4.3,16527040
KK Nagar,2455,122,4,2,6,Normal Sale,No,Commercial,AllPub,Gravel,RM,3.8,3.8,20063100
Karapakkam,1280,162,1,1,3,Normal Sale,No,Others,ELO,Paved,I,3.8,4.9,6783500
KK Nagar,2169,92,3,2,5,Normal Sale,No,Commercial,NoSewr ,Paved,RL,4.6,3,17039580
Velachery,1897,1,3,2,5,AdjLand,No,House,NoSewr ,No Access,RM,4.5,2.1,10040100
Chrompet,975,147,1,1,3,AbNormal,No,Others,AllPub,Gravel,RH,4.9,4.1,8345750
T Nagar,1876,196,2,1,5,AbNormal,Yes,House,AllPub,Gravel,RL,4.2,2.3,14685790
Anna Nagar,1931,28,2,1,5,Partial,Yes,House,NoSeWa,Gravel,RM,4.4,2.2,14799120
Anna Nagar,1793,157,1,1,4,AdjLand,Yes,Commercial,NoSeWa,Gravel,RM,2.4,2.6,22348850
T Nagar,1618,98,1,1,4,Family,Yes,Others,NoSewr ,Paved,RH,4,2.4,12611320
Velachery,1582,50,2,1,4,AdjLand,No,Others,ELO,Paved,C,3.8,3.2,8155260
Chrompet,1050,195,1,1,3,Normal Sale,Yes,Commercial,NoSewr ,Gravel,RM,2.6,3.8,14414750
KK Nagar,1938,108,3,2,5,AbNormal,Yes,Others,NoSeWa,Gravel,RH,5,4.2,11854600
Anna Nagar,1894,189,2,1,5,AdjLand,Yes,Others,ELO,No Access,RL,5,3.9,14310420
Anna Nagar,1780,30,1,1,4,Normal Sale,Yes,House,NoSewr ,No Access,RH,4.2,3.8,11574780
Velachery,1636,34,2,1,4,Partial,Yes,Others,NoSeWa,Gravel,C,2.5,2,8778570
Anna Nagar,1864,67,2,1,5,Family,No,Commercial,NoSewr ,Paved,RM,4.9,4.5,20691780
KK Nagar,2478,93,4,2,6,Partial,Yes,Commercial,NoSewr ,Paved,RL,2.8,3.9,19600940
Karapakkam,725,147,1,1,2,AdjLand,Yes,House,ELO,Paved,C,2,2.4,4953250
Anna Nagar,1627,50,1,1,4,AbNormal,No,House,AllPub,Gravel,RL,3,2.2,12093600
Karapakkam,1652,145,2,2,4,Family,No,House,AllPub,No Access,C,2.6,2.1,5999250
Anna Nagar,1996,46,2,1,5,Normal Sale,No,Commercial,NoSewr ,Paved,RM,3.2,4.4,22567050
KK Nagar,1463,85,2,1,4,Normal Sale,No,Commercial,AllPub,Gravel,RH,2.3,3.6,12802100
Karapakkam,1302,45,1,1,3,AdjLand,Yes,Others,ELO,Gravel,RH,2.6,4.7,8871250
Chrompet,1294,31,2,1,4,AdjLand,No,House,NoSewr ,No Access,RH,3.9,2.8,8782150
Karapakkam,1685,56,2,2,4,Partial,Yes,Others,NoSewr ,Paved,I,2.3,3.8,8895625
Velachery,1790,183,2,1,4,Normal Sale,No,Others,NoSeWa,No Access,C,3.7,3.5,7627340
Chrompet,1036,51,1,1,3,Family,Yes,Others,NoSeWa,Gravel,RL,4.9,3.3,10030670
Anna Nagar,1688,93,1,1,4,AdjLand,Yes,Commercial,AllPub,Paved,RH,4.8,4.2,19632920
Anna Nagar,1707,184,1,1,4,Normal Sale,No,Commercial,ELO,Gravel,RM,3.2,3.3,20192150
Chrompet,919,184,1,1,3,Normal Sale,No,House,AllPub,Gravel,RH,2.9,4.2,7989450
Velachery,1528,125,2,1,4,Normal Sale,Yes,House,ELO,No Access,I,3.3,3.1,8192790
Velachery,1746,162,2,1,4,Normal Sale,Yes,Commercial,AllPub,No Access,RL,5,4,14917160
Anna Nagar,1885,109,2,1,5,Partial,Yes,House,NoSewr ,Paved,RL,4.7,2.4,13501410
Adyar,1135,124,1,1,3,AbNormal,No,Others,AllPub,Gravel,C,3.4,4.2,8699125
Chrompet,871,47,1,1,3,AdjLand,No,House,ELO,No Access,RM,2,2.7,7373000
Adyar,831,139,1,1,3,Family,No,Others,NoSewr ,No Access,RL,2.2,3.8,7713895
Chrompet,1216,12,2,1,4,Family,Yes,House,ELO,Gravel,RH,4.2,4.9,9748900
KK Nagar,1728,45,2,1,4,Partial,Yes,House,AllPub,Paved,RM,5,3.5,10930680
Anna Nagar,1677,123,1,1,4,Partial,No,House,ELO,Gravel,RL,2.5,4.3,11947050
Karapakkam,1463,19,2,2,4,Normal Sale,No,House,NoSewr ,No Access,C,3,3.8,5885000
T Nagar,1739,67,1,1,4,Partial,No,House,NoSewr ,No Access,RH,3.2,4.3,10320700
Karapakkam,668,122,1,1,2,Partial,No,House,NoSeWa,Paved,C,4.1,3.5,3339000
Anna Nagar,1878,44,2,1,5,AdjLand,Yes,Others,NoSewr ,No Access,RM,4.3,2,15496160
Anna Nagar,1780,9,1,1,4,Normal Sale,No,House,AllPub,Gravel,RM,4,3.7,13140580
Velachery,1513,72,2,1,4,Normal Sale,Yes,Others,AllPub,No Access,C,2.4,3.6,8008950
Chrompet,917,114,1,1,3,AdjLand,No,Commercial,NoSeWa,Gravel,RM,4.1,2.2,12508650
KK Nagar,2157,133,3,2,5,Family,No,Others,NoSewr ,Paved,RM,3,3.6,11853140
Karapakkam,730,73,1,1,2,AbNormal,No,Commercial,NoSeWa,No Access,C,4.1,3.9,4886000
T Nagar,1912,194,2,1,5,AbNormal,No,Commercial,NoSewr ,Paved,RL,4.2,2.2,21107310
KK Nagar,2411,143,4,2,6,Normal Sale,No,Others,NoSeWa,Gravel,RH,2.1,4.2,12520540
T Nagar,1854,92,2,1,5,AdjLand,No,Others,NoSeWa,No Access,RL,2.3,2,13173400
KK Nagar,2075,6,3,2,5,AbNormal,No,Others,AllPub,Paved,RH,4.8,4.3,10696080
Karapakkam,1239,166,1,1,3,AdjLand,No,House,ELO,No Access,I,2.1,3.5,5281500
Adyar,890,97,1,1,3,Normal Sale,No,Commercial,NoSeWa,No Access,A,3.5,3.9,8414875
KK Nagar,2471,92,4,2,6,Family,No,Others,NoSewr ,Paved,RM,4.8,4.6,13259060
KK Nagar,1303,147,1,1,3,AbNormal,Yes,House,NoSeWa,Paved,RH,3.4,3.6,8496660
KK Nagar,1532,60,2,1,4,Partial,Yes,Commercial,NoSewr ,Paved,RH,5,3.1,13405440
Karapakkam,947,112,1,1,3,Partial,Yes,Others,NoSewr ,Gravel,RM,2.1,4,8709375
KK Nagar,2271,46,4,2,6,AdjLand,No,Commercial,NoSeWa,Paved,RM,3.9,3.1,18436880
Karapakkam,1610,149,2,2,4,AdjLand,Yes,Commercial,NoSeWa,Paved,RH,3.9,2.9,12876250
Chrompet,808,39,1,1,3,Normal Sale,No,Commercial,NoSewr ,No Access,RH,3.3,4.8,9544050
Karapakkam,1626,73,2,2,4,Partial,Yes,Others,ELO,No Access,RM,3.5,2.6,9478500
KK Nagar,1596,93,2,1,4,Partial,Yes,Commercial,AllPub,Paved,RH,3.3,2.8,13502160
KK Nagar,1653,27,2,1,4,Normal Sale,Yes,Others,NoSewr ,Paved,RL,4.7,4.1,11222760
Velachery,1609,44,2,1,4,Partial,Yes,House,NoSewr ,Paved,RH,2.6,4.5,9588670
T Nagar,1503,64,1,1,4,Family,Yes,Commercial,AllPub,Gravel,RH,4,2.6,17978100
Chrompet,1232,151,2,1,4,AbNormal,Yes,House,NoSeWa,No Access,RL,2.4,4.8,9371100
KK Nagar,1838,157,3,2,5,AbNormal,No,House,NoSewr ,Paved,RH,5,3,9244720
Velachery,1511,72,2,1,4,Family,No,House,NoSewr ,Gravel,A,2.6,4.5,6702360
Chrompet,1072,182,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Paved,RH,3.4,2.4,12893150
Adyar,1291,112,2,2,4,AdjLand,No,Others,NoSewr ,Gravel,I,3.4,3.2,10168445
Anna Nagar,1771,37,1,1,4,Family,No,House,AllPub,Paved,RH,2.1,4.6,11123540
Chrompet,709,129,1,1,2,AdjLand,Yes,Others,ELO,Gravel,RM,4,4.7,9332280
T Nagar,1886,53,2,1,5,Normal Sale,No,Others,AllPub,Gravel,RM,2,4.1,15416110
Velachery,1540,20,2,1,4,Normal Sale,Yes,House,NoSeWa,Paved,I,3.6,3.6,8174460
Anna Nagar,1712,42,1,1,4,Family,No,Commercial,AllPub,Gravel,RL,3.8,3.8,19337750
Chrompet,853,125,1,1,3,Family,Yes,House,NoSewr ,Gravel,RM,2.5,4.4,9872250
Chrompet,890,143,1,1,3,AdjLand,Yes,Commercial,NoSeWa,No Access,RL,2.9,3.6,11492450
Chrompet,934,24,1,1,3,Family,No,Others,NoSeWa,Gravel,RL,4.3,3.3,8750680
Adyar,1113,33,1,1,3,Normal Sale,Yes,Others,NoSeWa,Paved,A,2.8,5,8449490
Adyar,1183,179,1,1,3,Normal Sale,Yes,Commercial,NoSewr ,Paved,I,3,3.8,14046320
Karapakkam,527,147,1,1,2,Partial,Yes,House,NoSewr ,Paved,RH,4.5,4,5173250
Chrompet,996,92,1,1,3,Family,Yes,Others,NoSeWa,Gravel,RL,3.9,2.6,9831120
KK Nagar,1730,2,2,1,4,Normal Sale,Yes,House,NoSewr ,Paved,RL,4.3,3.4,10651140
Velachery,1697,41,2,1,4,Family,No,Commercial,NoSeWa,Paved,C,2.4,3.4,12666780
KK Nagar,2260,101,4,2,6,AdjLand,No,House,NoSewr ,Gravel,RM,5,3.5,12528440
Anna Nagar,1754,184,1,1,4,Normal Sale,Yes,Others,NoSeWa,Paved,RH,3.6,3.7,13330820
Anna Nagar,1633,154,1,1,4,Family,Yes,Commercial,NoSeWa,Paved,RL,3.4,2.4,19300690
Chrompet,914,18,1,1,3,Normal Sale,No,House,NoSeWa,Paved,RM,3.9,2.7,8155200
KK Nagar,2457,179,4,2,6,AdjLand,Yes,Others,NoSewr ,Paved,RL,4.5,3.2,13907120
T Nagar,1946,135,2,1,5,Family,No,Commercial,NoSewr ,Gravel,RL,3.6,4.4,21897640
Adyar,713,39,1,1,2,Normal Sale,No,Others,NoSeWa,Paved,RL,2.7,3.2,7676000
Chrompet,1179,162,1,1,3,AbNormal,Yes,House,NoSewr ,Paved,RL,2.2,2.6,10044200
Velachery,1770,138,2,1,4,Partial,No,House,ELO,Paved,RH,4.1,2.5,8548080
Velachery,1833,164,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Paved,RH,2.6,4.5,15741200
KK Nagar,2335,19,4,2,6,Normal Sale,No,Others,NoSeWa,Gravel,RH,4.7,3.3,12290940
Adyar,1122,32,1,1,3,AbNormal,No,House,ELO,Paved,I,4.2,2,7498275
Anna Nagar,1866,137,2,1,5,Normal Sale,Yes,Others,AllPub,No Access,RL,4.4,2.1,14409230
Karapakkam,1635,196,2,2,4,AbNormal,No,Commercial,NoSewr ,Gravel,C,5,2,10763000
Anna Nagar,1514,6,1,1,4,Family,No,Others,AllPub,No Access,RM,4,2.6,12047650
Adyar,1242,196,2,2,4,Family,Yes,House,NoSeWa,Gravel,I,3.6,3.8,9378485
Anna Nagar,1861,1,2,1,5,Family,Yes,House,NoSeWa,No Access,RH,2.3,4.5,12006850
KK Nagar,1650,129,2,1,4,Normal Sale,Yes,Commercial,NoSewr ,Paved,RH,2.5,2.3,14278260
Velachery,1802,64,3,2,5,Partial,No,House,ELO,Gravel,C,2.3,3.6,8288940
Velachery,1594,154,2,1,4,AbNormal,Yes,Others,NoSewr ,Paved,I,3.5,3.3,9865200
Adyar,1217,189,2,2,4,Partial,No,Commercial,ELO,Paved,RL,3.7,3,14178675
KK Nagar,1926,198,3,2,5,Partial,No,House,NoSewr ,Gravel,RH,2.7,3.8,9839960
Karapakkam,1143,49,1,1,3,AbNormal,Yes,House,NoSeWa,No Access,C,2.8,4.9,5280500
Chrompet,1129,124,1,1,3,AdjLand,No,Others,ELO,Paved,RL,4.4,3.6,9214930
Chrompet,937,145,1,1,3,Family,Yes,House,AllPub,Paved,RH,4.2,2,8245950
Adyar,790,102,1,1,2,AdjLand,No,House,ELO,Gravel,RH,4.2,2.5,7329900
Adyar,1215,199,2,2,4,Normal Sale,No,Commercial,NoSeWa,Gravel,RM,3.9,2.3,15103540
Chrompet,976,64,1,1,3,Family,Yes,Commercial,NoSeWa,Paved,RH,4.6,2.2,11943700
Adyar,604,156,1,1,2,AbNormal,Yes,Others,AllPub,No Access,I,2.1,2.3,6322560
Velachery,1672,194,2,1,4,Partial,No,Others,AllPub,Gravel,RM,2.4,3.3,10904740
KK Nagar,2382,49,4,2,6,Family,No,Commercial,NoSeWa,Gravel,RL,2.4,2,18192700
KK Nagar,1324,85,1,1,3,Normal Sale,Yes,House,NoSeWa,Paved,RL,4.5,3.9,8962700
Karapakkam,1198,51,1,1,3,Family,Yes,Commercial,ELO,Gravel,RH,2.9,4,10599000
Karapakkam,1347,41,2,2,4,Family,No,Others,ELO,Gravel,RL,3.3,3.9,8268875
Velachery,1845,45,3,2,5,Partial,Yes,Others,NoSewr ,Gravel,RH,2.1,2.7,11395560
Karapakkam,1569,66,2,2,4,AdjLand,No,House,AllPub,Gravel,RH,4,2.7,8792500
T Nagar,1548,149,1,1,4,Normal Sale,No,Others,ELO,Gravel,RM,2.5,4.2,13249450
Chrompet,1143,105,1,1,3,Normal Sale,Yes,Others,NoSeWa,No Access,RH,5,2.5,9305660
Chrompet,1127,185,1,1,3,Normal Sale,No,House,NoSewr ,Gravel,RL,2.9,3.5,9198100
Karapakkam,585,101,1,1,2,AdjLand,Yes,House,NoSeWa,No Access,A,4.8,2.8,3906750
KK Nagar,1823,69,3,2,5,Partial,No,Others,NoSewr ,Gravel,RL,3.5,4.9,10748500
KK Nagar,1891,64,3,2,5,AbNormal,Yes,Commercial,NoSewr ,Paved,RM,2.8,3.3,16864980
Velachery,1781,103,2,1,4,AbNormal,No,House,NoSewr ,Gravel,C,4.6,3.6,7950320
KK Nagar,2328,58,4,2,6,AbNormal,Yes,Commercial,NoSewr ,Gravel,RH,3.5,3.3,18646240
Velachery,1958,154,3,2,5,Partial,No,Others,NoSewr ,Gravel,C,4.2,4.2,9491790
Karapakkam,977,39,1,1,3,Partial,No,Commercial,NoSewr ,Paved,C,2.8,2.7,7095250
Adyar,797,74,1,1,2,AdjLand,Yes,House,ELO,No Access,RL,4.2,4.4,7975085
Chrompet,700,66,1,1,2,Normal Sale,Yes,House,AllPub,No Access,RH,3.6,3.9,6973750
Karapakkam,1483,21,2,2,4,AdjLand,Yes,Others,NoSeWa,Gravel,RH,4.4,2.6,10032375
Chrompet,843,99,1,1,3,AbNormal,No,Others,AllPub,Paved,RL,3,3.9,7812910
Karapakkam,1464,185,2,2,4,Partial,Yes,Others,NoSewr ,Gravel,I,4.1,3.5,8988750
Adyar,858,149,1,1,3,Family,Yes,House,NoSeWa,Paved,RM,2.6,4.4,9563095
KK Nagar,1927,36,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Gravel,RM,2.8,3.8,17651360
T Nagar,1664,90,1,1,4,AbNormal,No,Others,NoSewr ,Gravel,RL,2.1,4.2,13427680
Adyar,1293,136,2,2,4,AdjLand,No,House,NoSeWa,No Access,RH,3.1,3.4,9104275
Anna Nagar,1681,93,1,1,4,Normal Sale,No,Commercial,ELO,No Access,RL,3,2.7,18312300
Chrompet,1073,163,1,1,3,AdjLand,Yes,Others,NoSeWa,Paved,RH,4,3.5,9760960
Chrompet,916,109,1,1,3,AbNormal,No,House,AllPub,No Access,RL,2.2,3.8,7319800
Velachery,1617,18,2,1,4,AbNormal,No,Commercial,NoSewr ,Gravel,A,4.8,5,12167290
KK Nagar,2223,39,4,2,6,Normal Sale,No,House,AllPub,Gravel,RL,4.4,4.8,11839680
Chrompet,877,21,1,1,3,Partial,Yes,Commercial,NoSewr ,Gravel,RM,2.9,4.3,12640950
Karapakkam,802,18,1,1,2,Family,Yes,Commercial,AllPub,No Access,RH,3,2.4,7832500
KK Nagar,2057,131,3,2,5,Normal Sale,Yes,House,NoSewr ,Paved,RL,2.5,4.6,11396020
Anna Nagar,1990,199,2,1,5,AbNormal,Yes,House,NoSeWa,Paved,RM,3.3,2.7,14927450
Karapakkam,975,78,1,1,3,AdjLand,Yes,Commercial,NoSewr ,Paved,A,3.5,4,8261000
T Nagar,1519,115,1,1,4,Family,Yes,Commercial,NoSewr ,No Access,RM,3.3,4.7,18169910
Karapakkam,1537,42,2,2,4,AdjLand,No,Others,ELO,Paved,RH,3.7,2.2,8178625
Karapakkam,1502,164,2,2,4,AbNormal,Yes,Others,NoSeWa,No Access,C,3.3,2.4,6677000
Adyar,1016,24,1,1,3,AbNormal,No,House,ELO,No Access,RH,4.8,4.3,7041840
T Nagar,1502,64,1,1,4,Normal Sale,No,House,NoSeWa,No Access,RH,2.1,2.7,9433610
Karapakkam,1497,170,2,2,4,Family,No,Others,AllPub,No Access,RL,3.1,3.8,8164875
Adyar,850,179,1,1,3,Partial,No,House,NoSewr ,Paved,I,5,4.4,6575100
Anna Nagar,1940,163,2,1,5,Family,No,Others,AllPub,Gravel,RL,2.3,3.4,14198960
Karapakkam,1523,79,2,2,4,AbNormal,Yes,House,ELO,No Access,I,2.3,3.6,6916250
Chrompet,711,94,1,1,2,AbNormal,Yes,House,ELO,No Access,RH,3,3.6,6354550
Velachery,1671,62,2,1,4,AdjLand,No,House,NoSewr ,Paved,A,4.3,4.3,7352510
Chrompet,1293,73,2,1,4,AbNormal,Yes,Commercial,NoSeWa,No Access,RH,3.5,5,14017800
Karapakkam,1615,106,2,2,4,AdjLand,Yes,Commercial,ELO,Paved,I,2.6,3.3,12288250
Velachery,1526,62,2,1,4,Partial,Yes,Others,AllPub,Gravel,C,4.3,3.4,9091390
KK Nagar,2296,170,4,2,6,Family,Yes,Others,AllPub,Gravel,RM,4.6,2.3,14327400
Anna Nagar,1600,92,1,1,4,Family,No,House,AllPub,Gravel,RM,5,4.1,12401250
Karapakkam,1122,115,1,1,3,Family,No,Others,ELO,Paved,RM,3.7,4,7809500
Chrompet,821,79,1,1,3,AdjLand,No,Others,NoSeWa,No Access,RH,4.9,4,6678470
Velachery,1678,19,2,1,4,AdjLand,Yes,Commercial,NoSewr ,Gravel,C,2.1,2.1,14452540
Karapakkam,587,171,1,1,2,Partial,Yes,Others,NoSewr ,Gravel,C,2.4,4.2,5185125
Adyar,613,74,1,1,2,Normal Sale,No,Others,ELO,Paved,RH,2.7,4.1,6193485
Chrompet,714,92,1,1,2,AbNormal,Yes,House,NoSewr ,Paved,RL,4.2,4.2,8144950
Karapakkam,596,118,1,1,2,Normal Sale,No,Commercial,ELO,Gravel,C,4.9,4,5766000
KK Nagar,1804,75,3,2,5,Partial,Yes,Others,NoSeWa,Gravel,RH,2.8,2.7,11065040
Karapakkam,1058,111,1,1,3,Normal Sale,Yes,Others,AllPub,Gravel,RL,2.4,4.4,9121000
Chrompet,884,104,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RM,2.7,3.9,9668900
KK Nagar,2321,18,4,2,6,Normal Sale,No,House,AllPub,Gravel,RH,3.9,3.8,11291220
Karapakkam,1603,70,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RM,2.5,3.2,14077500
Adyar,715,131,1,1,2,Normal Sale,Yes,Commercial,ELO,Paved,RH,2.3,3.2,10571650
Karapakkam,1397,118,2,2,4,Partial,Yes,Commercial,NoSewr ,Paved,C,4.9,4.5,9888000
Anna Nagar,1604,188,1,1,4,Partial,Yes,Others,NoSewr ,Paved,RL,2.1,4,12985460
KK Nagar,1533,195,2,1,4,Normal Sale,No,Commercial,NoSeWa,Paved,RL,2.5,2.5,12844280
Anna Nagar,1744,159,1,1,4,Family,Yes,House,ELO,Gravel,RM,2.8,2.1,13832030
Chrompet,1097,132,1,1,3,Partial,No,House,AllPub,Gravel,RL,4.2,2.2,8792100
Chrompet,748,93,1,1,2,AdjLand,No,Commercial,AllPub,Gravel,RL,4.7,2.9,10727250
Adyar,847,191,1,1,3,Partial,No,House,AllPub,No Access,C,2.8,4.8,5254245
T Nagar,1535,50,1,1,4,AdjLand,No,Commercial,AllPub,Gravel,RH,2.3,2.5,18163890
Karapakkam,1558,200,2,2,4,AdjLand,No,House,AllPub,Paved,I,4,3.5,7047750
Velachery,1696,63,2,1,4,AbNormal,No,Others,ELO,Paved,RH,3.3,3,9475100
Anna Nagar,1868,157,2,1,5,Partial,Yes,Others,ELO,No Access,RH,4.8,2.1,13107540
Karapakkam,591,8,1,1,2,Partial,No,Others,AllPub,Gravel,RH,2.5,3.5,5865875
Anna Nagar,1539,39,1,1,4,AbNormal,No,Others,NoSeWa,No Access,RH,3.6,4.6,10959440
Anna Nagar,1594,18,1,1,4,AbNormal,Yes,House,NoSeWa,Gravel,RM,2.8,2.8,12918430
Chrompet,1074,140,1,1,3,AbNormal,Yes,Commercial,AllPub,Paved,RM,3.3,2.3,14048900
Chrompet,736,167,1,1,2,AdjLand,No,Commercial,AllPub,Gravel,RH,3.8,2.6,10316800
Chrompet,904,98,1,1,3,Family,No,Others,NoSewr ,Gravel,RH,2.8,3.8,7831830
Chrompet,802,107,1,1,3,AdjLand,Yes,Commercial,NoSewr ,Gravel,RM,2.1,2.4,12971150
Karapakkam,1445,111,2,2,4,Family,No,Commercial,NoSewr ,No Access,C,4.3,2.7,8783500
Velachery,1623,91,2,1,4,AdjLand,No,Others,ELO,Paved,RL,4.3,2.5,10346560
Anna Nagar,1978,193,2,1,5,Normal Sale,Yes,House,NoSeWa,Paved,RL,2.9,2.6,13831750
Karapakkam,1546,105,2,2,4,AbNormal,No,Others,NoSewr ,Gravel,RH,3.5,5,8340500
KK Nagar,1896,182,3,2,5,Partial,No,Others,NoSeWa,Paved,RL,3.2,4.3,10461400
